respondent;variant_status;mainline;variant;original_developers;common_active_maintainers;motivation;motivation_detail
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;technical;maintenance
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;governance;nan
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;others;supporting personal projects
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;technical;maintenance
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;others;supporting personal projects
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;technical;maintenance
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;governance;nan
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;technical;maintenance
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;governance;nan
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;legal;nan
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;others;supporting personal projects
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;technical;stripped version
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;legal;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;others;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;technical;stripped version
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;governance;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;legal;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;technical;stripped version
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;governance;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;others;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;technical;stripped version
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;others;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;technical;stripped version
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;governance;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;technical;stripped version
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;governance;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;legal;nan
R1_14;Attached;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;none;no;others;nan
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;technical;maintenance
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;legal;nan
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;others;nan
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;technical;maintenance
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;governance;responsiveness
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;legal;nan
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;technical;maintenance
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;governance;responsiveness
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;others;nan
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;technical;maintenance
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;others;nan
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;technical;maintenance
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;governance;responsiveness
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;technical;maintenance
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;governance;responsiveness
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;legal;nan
R1_15;Attached;bbmokhtari/django-translations;thread/django-translations;none;no;others;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;technical;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;legal;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;others;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;technical;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;governance;responsiveness
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;legal;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;technical;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;governance;responsiveness
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;others;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;technical;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;others;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;technical;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;governance;responsiveness
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;technical;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;governance;responsiveness
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;legal;nan
R1_16;Attached;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;one;no;others;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;technical;customization
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;legal;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;others;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;technical;customization
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;governance;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;legal;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;technical;customization
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;governance;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;others;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;technical;customization
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;others;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;technical;customization
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;governance;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;technical;customization
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;governance;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;legal;nan
R1_17;Attached;fgrosse/PHPASN1;Adapik/PHPASN1;one;no;others;nan
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;technical;new features
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;legal;nan
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;others;nan
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;technical;new features
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;governance;feature acceptance
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;legal;nan
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;technical;new features
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;governance;feature acceptance
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;others;nan
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;technical;new features
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;others;nan
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;technical;new features
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;governance;feature acceptance
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;technical;new features
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;governance;feature acceptance
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;legal;nan
R1_18;Attached;alexbrainman/printer;jazzy-crane/printer;none;no;others;nan
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;technical;feature frozen
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;legal;nan
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;others;nan
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;technical;feature frozen
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;governance;feature acceptance
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;legal;nan
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;technical;feature frozen
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;governance;feature acceptance
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;others;nan
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;technical;feature frozen
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;others;nan
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;technical;feature frozen
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;governance;feature acceptance
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;technical;feature frozen
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;governance;feature acceptance
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;legal;nan
R1_19;Attached;yiisoft/yii;b1rdex/yii;none;no;others;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;technical;feature frozen
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;legal;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;others;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;technical;feature frozen
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;governance;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;legal;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;technical;feature frozen
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;governance;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;others;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;technical;feature frozen
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;others;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;technical;feature frozen
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;governance;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;technical;feature frozen
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;governance;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;legal;nan
R1_2;Attached;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;none;no;others;nan
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;technical;maintenance
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;legal;nan
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;others;nan
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;technical;maintenance
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;governance;responsiveness
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;legal;nan
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;technical;maintenance
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;governance;responsiveness
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;others;nan
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;technical;maintenance
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;others;nan
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;technical;maintenance
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;governance;responsiveness
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;technical;maintenance
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;governance;responsiveness
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;legal;nan
R1_20;Attached;sizeg/yii2-jwt;bizley/yii2-jwt;none;no;others;nan
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;technical;new release
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;legal;nan
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;others;nan
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;technical;new release
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;governance;responsiveness
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;legal;nan
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;technical;new release
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;governance;responsiveness
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;others;nan
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;technical;new release
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;others;nan
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;technical;new release
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;governance;responsiveness
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;technical;new release
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;governance;responsiveness
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;legal;nan
R1_21;Attached;mdmsoft/yii2-admin;mishamosher/yii2-admin;none;no;others;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;technical;feature frozen
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;legal;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;others;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;technical;feature frozen
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;governance;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;legal;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;technical;feature frozen
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;governance;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;others;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;technical;feature frozen
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;others;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;technical;feature frozen
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;governance;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;technical;feature frozen
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;governance;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;legal;nan
R1_23;Attached;jazzband/pip-tools;jgonggrijp/pip-review;none;no;others;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;technical;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;legal;privacy
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;others;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;technical;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;governance;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;legal;privacy
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;technical;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;governance;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;others;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;technical;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;others;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;technical;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;governance;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;technical;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;governance;nan
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;legal;privacy
R1_24;Attached;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;one;yes;others;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;technical;enhancement
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;legal;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;others;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;technical;enhancement
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;governance;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;legal;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;technical;enhancement
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;governance;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;others;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;technical;enhancement
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;others;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;technical;enhancement
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;governance;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;technical;enhancement
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;governance;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;legal;nan
R1_25;Attached;tadas-s/isbnjs;inventaire/isbn3;none;no;others;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;technical;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;legal;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;others;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;technical;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;governance;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;legal;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;technical;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;governance;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;others;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;technical;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;others;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;technical;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;governance;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;technical;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;governance;nan
R1_26;Attached;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;one;no;legal;nan
