variant_status;respondent;mainline;variant;details;codes
R1_77;Attached;dashpay/dash;biblepay/biblepay;In the crypto world, the mainline inherits changes from BITCOIN, for example, security commits, and the variant merges those changes in. So the variant is very interested in every change in the Mainline. However, the variant must maintain the specific new features that we added separately, and the Mainline is not interested in helping the Variant do this.;variant follows mainline
R1_78;Attached;bcdev/beam;senbox-org/snap-engine;No, there has never been any discussion since the creation of the variant;never
R1_79;Attached;jdsteinbach/eleventy-plugin-toc;JordanShurmer/eleventy-plugin-toc;No, there has never been any discussion since the creation of the variant;never
R1_80;Attached;openssl/openssl;open-quantum-safe/openssl;Yes, they still discuss the direction of the projects;yes
R1_81;Attached;jnovack/homebridge-better-http-rgb;QuickSander/homebridge-http-rgb-push;Yes, they still discuss the direction of the projects;yes
R1_82;Attached;FirebaseExtended/firebase-queue;kaliberjs/firebase-queue;No, there has never been any discussion since the creation of the variant;never
R2_1;Detached;PaperMC/Paper;pl3xgaming/Purpur;Yes, they still discuss the direction of the projects;yes
R2_2;Detached;fogleman/Minecraft;traverseda/pycraft;No, there has never been any discussion since the creation of the variant;never
R2_3;Detached;PaperMC/Waterfall;yesdog/Waterdog;I do not discuss, but I am not sure if other maintainers do;not sure
R2_3_1;Detached;SpigotMC/BungeeCord;PaperMC/Waterfall;I do not discuss, but I am not sure if other maintainers do;not sure
R2_4;Detached;obsproject/obs-studio;CoSMoSoftware/OBS-studio-webrtc;Mainline defines main directions of the project, variant follows mainline updates;variant follows mainline
R2_5;Detached;bsnes-emu/bsnes;libretro/bsnes-mercury;No, there has never been any discussion since the creation of the variant;never
R2_6;Detached;redis/redis;JohnSully/KeyDB;We’re in contact but rarely discuss;in contact but rarely discuss
R2_7;Detached;lzzy12/python-aria-mirror-bot;magneto261290/magneto-python-aria;Yes, they still discuss the direction of the projects;yes
R2_8;Detached;Baystation12/Baystation12;Aurorastation/Aurora.3;Technical solutions get swapped in both directions as osmosis. Creative decisions (since we're both games) are kept very separate, though.;swap techical details
R2_9;Detached;CloudburstMC/Nukkit;CloudburstMC/Server;No, there has never been any discussion since the creation of the variant;never
R11_1;Attached;JabRef/jabref;koppor/jabref;Yes, they still discuss the direction of the projects;yes
R11_2;Attached;mmcgrana/gobyexample;golangit/gobyexample-it;No, there has never been any discussion since the creation of the variant;never
R11_3;Attached;desktop/desktop;shiftkey/desktop;Not really. I’m no longer contributing to the main project but I still keep in touch with the current contributors and support them however I can;never
R11_4;Attached;thinkle/gourmet;kirienko/gourmet;They used to discuss but not anymore since the projects have technically diverged from each other;technically diverged
R11_5;Attached;GiulioRossetti/ndlib;KDDComplexNetworkAnalysis/ndlib;The variant is only a mirror of the mainline;variant is a mirror of mainline
R11_6;Attached;kiprotect/klaro;empreinte-digitale/orejime;No, there has never been any discussion since the creation of the variant;never
R11_7;Attached;shurcooL/markdownfmt;Kunde21/markdownfmt;No, there has never been any discussion since the creation of the variant;never
R11_8;Attached;shimmerproject/Numix;Ferdi265/numix-solarized-gtk-theme;No, there has never been any discussion since the creation of the variant;never
R11_9;Attached;monero-project/monero;oxen-io/oxen-core;No, there has never been any discussion since the creation of the variant;never
R11_10;Attached;raylee/tldr-sh-client;pepa65/tldr-bash-client;No, there has never been any discussion since the creation of the variant;never
R11_11;Attached;arachnys/cabot;Affirm/cabot;No, there has never been any discussion since the creation of the variant;never
R11_12;Attached;erikrose/blessings;jquast/blessed;No, there has never been any discussion since the creation of the variant;never
R11_13;Attached;rust-rocksdb/rust-rocksdb;tikv/rust-rocksdb;No, there has never been any discussion since the creation of the variant;never
R11_14;Attached;opentk/opentk;ppy/osuTK;The variant was only created to meed additional technical needs. Other than that, it was kept more-or-less up to date with mainline.;variant follows mainline
R11_15;Attached;ncase/trust;dccxi/trust-zh-CN;The project was almost finished at the time, so I don't consider there are new features added other than the new translations.;never
